Title,Ingredients
Quince muffin,"2
 
cups
 
quả quince đã nấu
180
 
ml
 
bơ chảy
¼
 
cup
 
đường trắng
25
 
g
 
đường nâu
2
 
quả
 
trứng
1½
 
tsp
 
tinh chất vanilla
120
 
g
 
sữa chua không đường
160
 
g
 
bột mì đa dụng
2
 
tsp
 
bột quế
¾
 
tsp
 
baking powder
¾
 
tsp
 
baking soda
½
 
tsp
 
muối"
Bánh mì cuộn mứt dâu,"500
 
g
 
bột mì đa dụng
2½
 
tsp
 
men khô
250
 
ml
 
sữa ấm
90
 
g
 
đường
1
 
tsp
 
muối
2
 
quả
 
trứng
75
 
g
 
bơ nhạt, chảy
1
 
lượng
 
mứt dâu
 - 
tự làm hoặc mua sẵn
3
 
tbs
 
đường trắng hạt mịn
1
 
tbsp
 
bột quế"
Coffee cheesecake,"Đế bánh
110
 
g
 
bột mì đa dụng
½
 
cup
 
bột cacao
1
 
tsp
 
baking soda
¼
 
tsp
 
baking powder
90
 
g
 
bơ nhạt
 - 
để mềm
150
 
g
 
đường
1
 
quả
 
trứng"
Lemon brownies,"225
 
g
 
bơ nhạt
 - 
để mềm
¾
 
cup
 
đường trắng
1
 
quả
 
chanh vàng
 - 
bào lấy vỏ nhuyễn
2
 
tbsp
 
nước cốt chanh vàng
4
 
quả
 
trứng
1½
 
cup
 
bột mì đa dụng
½
 
tsp
 
 muối"
Cinnamon pretzel bites (nuggets),"Phần bột bánh
7
 
g
 
men khô
240
 
ml
 
nước ấm
2
 
tbsp
 
đường
2
 
tbsp
 
đường nâu
1
 
tbsp
 
dầu ăn
1
 
tsp
 
muối
2½
 
cup
 
bột mì đa dụng"
Yoghurt poppy seeds cake,"1½
 
cup
 
bột mì đa dụng
2
 
tsp
 
baking powder
1
 
tsp
 
baking soda
½
 
tsp
 
muối
2
 
quả
 
trứng to
½
 
cup
 
đường trắng
½
 
cup
 
dầu ăn
1
 
cup
 
sữa chua không đường
1
 
quả
 
chanh vàng
 - 
vỏ bào nhuyễn, vắt lấy nước cốt
1
 
tbsp
 
hạt poppy
2
 
tbsp
 
yến mạch"
Bánh hạnh nhân mè đen giòn rụm,"200
 
g
 
lòng trắng trứng
200
 
g
 
đường trắng
1
 
tsp
 
muối
50
 
g
 
bột hạnh nhân
150
 
g
 
bơ nhạt
 - 
làm chảy
200
 
g
 
bột mì đa dụng
350
 
g
 
hạnh nhân lát
5
 
tbsp
 
vừng đen"
Blackberry crumble cheesecake bars,"Đế bánh và topping:
2
 
cups
 
bột mì nguyên cám
5
 
miếng
 
weetbix 
 - 
bóp vụn
1
 
tsp
 
muối
2
 
tsp
 
baking powder
3
 
tsp
 
bột quế
⅔
 
cup
 
đường nâu
 - 
brown sugar
220
 
g
 
bơ lạnh
 - 
cắt thành khối nhỏ"
Blueberry cheesecake crumble,"Đế bánh và topping:
2
 
cups
 
bột mì nguyên cám
5
 
miếng
 
weetbix 
 - 
bóp vụn
1
 
tsp
 
muối
2
 
tsp
 
baking powder
3
 
tsp
 
bột quế
⅔
 
cup
 
đường nâu
 - 
brown sugar
220
 
g
 
bơ lạnh
 - 
cắt thành khối nhỏ"
Oatmeal molasses bread,"1
 
cup
 
sữa tươi không đường
 - 
làm ấm
80
 
ml
 
nước ấm
1
 
tbsp
 
men khô
2
 
tbsp
 
đường nâu
2
 
tbsp
 
molasses
1
 
tsp
 
muối
40
 
ml
 
dầu ăn
1
 
cup
 
yến mạch
3
 
cup
 
bột bánh mì
1
 
cup
 
bột mì nguyên cám"
Cranberry buns with creamcheese filling,"Tangzhong
500
 
g
 
nước
100
 
g
 
bột mì"
Crumble lemon cheesecake bars,"Đế bánh và topping:
2
 
cups
 
bột mì nguyên cám
1
 
cup
 
yến mạch
1
 
tsp
 
muối
2
 
tsp
 
baking powder
1
 
cup
 
đường nâu
220
 
g
 
bơ lạnh
 - 
cắt khối vuông nhỏ
2
 
tbsp
 
vỏ chanh vàng
 - 
bào nhuyễn"
Spinach cheese scones,"350
 
g
 
bột mì đa dụng
1
 
tbsp
 
đường
2½
 
tsp
 
baking powder
½
 
tsp
 
muối
110
 
g
 
bơ lạnh
 - 
cắt khối vuông nhỏ
¾
 
cup
 
sữa tươi
3
 
cup
 
rau cải bó xôi
 - 
thái nhỏ
250
 
g
 
phô mai cheddar 
 - 
bào sợi"
Mozzarella cheese spring onion bread,"530
 
g
 
bột bánh mì
 - 
bread flour
240
 
g
 
sữa tươi
80
 
g
 
đường
7
 
g
 
men khô
6
 
g
 
muối
2
 
quả
 
trứng
60
 
g
 
bơ nhạt
 - 
để mềm
250
 
g
 
mozzarella cheese
1
 
lượng
 
hành lá
2
 
tsp
 
dầu ô liu
½
 
tsp
 
tiêu đen xay"
Lemon poppy seeds pancake,"2¼
 
cup
 
bột mì đa dụng
2
 
tsp
 
baking powder
1
 
tsp
 
baking soda
¼
 
tsp
 
muối
1½
 
cup
 
sữa tươi
½
 
cup
 
nước cốt chanh vàng
2
 
quả
 
trứng to
2
 
tsp
 
vanilla
3
 
tbsp
 
bơ chảy
½
 
cup
 
đường
2
 
tbsp
 
vỏ chanh bào
1
 
tbsp
 
hạt poppy
1
 
lượng
 
dầu ăn vừa đủ 
 - 
để phết chảo"
Bánh mì tạo hình nơ,"1
 
công thức
 
bánh mì hoa cúc"
Bánh mì hoa cúc,"150
 
g
 
whipping cream
80
 
g
 
bơ nhạt
80
 
g
 
đường
80
 
g
 
sữa tươi không đường
10
 
g
 
men nở 
 - 
instant yeast
3
 
quả
 
trứng to
550
 
g
 
bột bánh mì
1
 
tsp
 
muối"
Hongkong pineapple buns,"Tang zhong
20
 
g
 
bột mì
80
 
ml
 
nước"
Lemon crinkles,"2½
 
cups
 
bột mì đa dụng
2
 
tsp
 
baking powder
½
 
tsp
 
muối
½
 
cup
 
bơ nhạt
 - 
110g
½
 
cup
 
đường
 - 
100g
2
 
quả
 
trứng
3
 
tbsp
 
nước cốt chanh
1
 
tsp
 
vanilla
1
 
lượng
 
đường icing"
Spring onion bread,"Bánh mì
150
 
ml
 
sữa tươi
3
 
tbsp
 
đường nâu
8
 
g
 
men khô
350
 
g
 
bột bánh mì
1
 
quả
 
trứng to
1
 
tsp
 
muối
40
 
g
 
bơ"
Chocolate cake & peanut butter frosting,"Chocolate cake
2
 
cups
 
bột mì đa dụng
1
 
cup
 
đường
¾
 
cup
 
bột cacao
1
 
tsp
 
muối
½
 
tsp
 
baking powder
1½
 
tsp
 
baking soda
2
 
quả
 
trứng
1
 
cup
 
butter milk
1
 
cup
 
dầu ăn
1½
 
tsp
 
vanilla
1
 
cup
 
nước cà phê đặc"
Orange lemon layer cake,"Orange lemon cake
3
 
cups
 
bột mì đa dụng
1
 
tbsp
 
baking powder
½
 
tsp
 
muối
1
 
cup
 
bơ nhạt
 - 
mềm
½
 
cup
 
đường
2
 
quả
 
trứng to
1
 
tsp
 
vanilla extract
1½
 
cup
 
butter milk
2
 
tbsp
 
vỏ chanh bào nhuyễn
2
 
tbsp
 
vỏ cam bào nhuyễn
40
 
ml
 
nước cốt chanh vàng
60
 
ml
 
nước cốt cam"
Japanese chocolate cream buns,"Bánh mì
280
 
g
 
bột bánh mì
120
 
g
 
bột bánh cake
6
 
g
 
muối
220
 
ml
 
sữa tươi
7
 
g
 
men khô
 - 
instant yeast
40
 
g
 
đường
40
 
g
 
bơ mềm
1
 
quả
 
trứng"
Bánh mì chanh vàng hạt poppy,"200
 
ml
 
nước ấm
7
 
g
 
men khô
2
 
tbsp
 
đường trắng
1
 
tsp
 
muối
650
 
g
 
bột bánh mì
60
 
ml
 
bơ chảy
60
 
ml
 
mật ong
2
 
quả
 
trứng to
2
 
tbsp
 
hạt poppy
2
 
tbsp
 
vỏ chanh vàng bào nhuyễn
2
 
tbsp
 
nước cốt chanh vàng"
Apricot chocolate chips cookies,"125
 
g
 
bơ nhạt
 - 
để mềm
½
 
cup
 
đường nâu
1
 
quả
 
trứng
2
 
tsp
 
vanilla
1
 
cup
 
bột mì đa dụng
¾
 
tsp
 
baking powder
¼
 
tsp
 
muối
1½
 
cup
 
yến mạch
20
 
quả
 
mơ khô
 - 
thái vụn
100
 
g
 
chocolate chips"
Lemon layer cake,"Phần bánh chanh
220
 
g
 
bơ nhạt
 - 
để mềm
¾
 
cup
 
đường trắng
2
 
quả
 
trứng
3
 
cái
 
lòng đỏ trứng
 - 
1
2
 
tbsp
 
vỏ chanh bào nhuyễn
4
 
tbsp
 
nước cốt chanh vàng
170
 
g
 
kem chua
 - 
sour cream
½
 
cup
 
sữa tươi không đường
2½
 
cup
 
bột mì đa dụng
1
 
tsp
 
muối
1
 
tsp
 
baking powder
½
 
tsp
 
baking soda"
Halloumi cheese sticks,"200
 
g
 
phô mai halloumi
1
 
quả
 
trứng
1
 
 lượng
 
bột mì
1
 
lượng
 
bột cà mì
 - 
bột chiên xù"
Molasses oatmeal cookies,"250
 
g
 
bột mì đa dụng
1½
 
tsp
 
baking powder
1
 
tsp
 
baking soda
1
 
tsp
 
muối
1
 
tsp
 
bột quế
250
 
g
 
yến mạch
 - 
rolled oats
100
 
g
 
dừa sợi khô
120
 
g
 
nho khô
110
 
g
 
bơ nhạt
 - 
để mềm
100
 
g
 
đường trắng
2
 
quả
 
trứng
170
 
g
 
molasses"
Cocoa brownies with walnut & cranberries,"290
 
g
 
bơ nhạt
270
 
g
 
đường trắng
160
 
g
 
bột cacao
½
 
tsp
 
muối
4
 
quả
 
trứng to
130
 
g
 
bột mì đa dụng
150
 
g
 
hạt óc chó
 - 
thái vụn
100
 
g
 
cranberries khô"
Parsley and cheese scones,"500
 
g
 
bột mì đa dụng
 - 
hoặc bột bánh mì
6
 
tsp
 
baking powder
2
 
tbsp
 
bột mù tạt vàng
 - 
mustard powder
1
 
tsp
 
muối
1
 
lượng
 
parsley thái nhỏ
80
 
g
 
bơ lạnh
 - 
thái hạt lựu nhỏ
350
 
ml
 
sữa tươi không đường
300
 
g
 
phô mai bào"
Macaroons dừa chanh vàng,"200
 
g
 
dừa sợi khô
200
 
g
 
sữa đặc có đường
4
 
tbsp
 
nước cốt chanh vàng
3
 
tbsp
 
vỏ chanh vàng bào nhuyễn
½
 
tsp
 
tinh chất vanilla
¼
 
tsp
 
muối
2
 
cái
 
lòng trắng trứng"
Bánh mì bơ tỏi hành hoa,"Bột cái
100
 
g
 
bột bánh mì
2
 
g
 
men khô
100
 
g
 
nước"
Bánh chocolate siêu mềm ẩm,"Bánh chocolate
2½
 
cup
 
bột mì đa dụng
2
 
tsp
 
baking powder
2
 
tsp
 
baking soda
1½
 
tsp
 
muối
1½
 
cup
 
bột cacao
1
 
cup
 
cà phê espresso
2½
 
cup
 
nước nóng
2
 
cup
 
đường
1
 
cup
 
dầu ăn
4
 
tsp
 
tinh chất vanilla
3
 
quả
 
trứng to
1½
 
cup
 
kem chua
 - 
sour cream"
Lemon poppy seeds bars,"200
 
g
 
bơ nhạt
 - 
để mềm
150
 
g
 
đường trắng
4
 
quả
 
trứng to
4
 
tbsp
 
nước cốt chanh vàng
½
 
tsp
 
muối
2
 
quả
 
chanh vàng
 - 
bào lấy vỏ nhuyễn
180
 
g
 
bột mì đa dụng
1
 
tbsp
 
hạt poppy
1
 
lượng
 
đường icing
 - 
rắc mặt bánh"
Cornflakes chocolate chips cookies,"150
 
g
 
bơ nhạt
 - 
để mềm
¼
 
cup
 
đường trắng
1
 
quả
 
trứng
1
 
tsp
 
tinh chất vanilla
1½
 
cup
 
bột mì đa dụng
1
 
tsp
 
baking powder
½
 
cup
 
chocolate chips
4
 
cups
 
cornflakes"
Bánh mì nướng piccalilli và phô mai,"8
 
lát
 
bánh mì sandwich
1
 
lượng
 
piccalilli
 - 
thay bằng loại khác tùy ý
1
 
lượng
 
phô mai bào sợi
 - 
chọn loại phô mai tùy thích
1
 
ít
 
parsley
 - 
ăn kèm và trang trí"
Bánh mì cuộn nhân quế,"Phần bánh mì
1
 
cup
 
sữa tươi không đường
 - 
240ml – nhiệt độ phòng
2¼
 
tsp
 
men khô
 - 
instant yeast
1
 
quả 
 
trứng
¼
 
cup
 
bơ chảy hoặc mềm
 - 
60g
¼
 
cup
 
đường trắng
 - 
50g
3¾
 
cup
 
bột mì đa dụng
 - 
hoặc bột bánh mì
1
 
tsp
 
muối"
Bánh mì brioche cuộn vòng,"Phần bột cái
⅓
 
cup
 
sữa tươi không đường
 - 
làm ấm
2½
 
tsp
 
men khô
1
 
quả
 
trứng
2
 
cup
 
bột mì đa dụng"
Rosemary Garlic Challah Bread,"8
 
g
 
men khô
 - 
instant yeast
1
 
cup
 
nước ấm
 - 
240ml
1
 
tbsp
 
đường trắng
¼
 
cup
 
dầu ăn
 - 
60ml
2
 
tbsp
 
mật ong
2
 
quả
 
trứng
4
 
cups
 
bột bánh mì
 - 
hoặc bột đa dụng
1
 
tsp
 
muối
1
 
tbsp
 
bột tỏi
2
 
tbsp
 
lá hương thảo tươi
 - 
thái nhỏ
2
 
tép
 
tỏi tươi
 - 
thái lát mỏng"
Lemon blueberry buttermilk cake,"Phần bánh
230
 
ml
 
sữa tươi không đường
1
 
tbsp
 
nước cốt chanh vàng
85
 
g
 
dầu ăn
3
 
quả
 
trứng
2
 
tbsp
 
vỏ chanh vàng bào nhuyễn
4
 
tbsp
 
nước cốt chanh vàng
400
 
g
 
bột cake
180
 
g
 
đường trắng
½
 
tsp
 
muối
2
 
tsp
 
baking powder
½
 
tsp
 
baking soda
200
 
g
 
bơ nhạt
 - 
để mềm
300
 
g
 
quả việt quất
 - 
blueberry – tươi hoặc đông lạnh"
Pancake dừa,"2
 
cups
 
bột mì đa dụng
 - 
240g
¼
 
cup
 
đường trắng
 - 
50g
1
 
tbsp
 
baking powder
¾
 
tsp
 
muối
1
 
cup
 
sữa tươi không đường
 - 
240ml
380
 
g
 
nước cốt dừa
 - 
coconut cream
1
 
quả
 
trứng
1
 
lượng
 
dừa khô
 - 
tùy theo sở thích
1
 
lượng
 
dầu dừa"
Bánh mì nguyên cám với phô mai và thịt hun khói,"200
 
ml
 
sữa tươi không đường
 - 
ấm
1½
 
tbsp
 
đường
10
 
g
 
men khô
 - 
instant yeast
2
 
cups
 
bột bánh mì
 - 
260g bread flour
2
 
cups
 
bột mì nguyên cám
 - 
260g whole wheat flour
80
 
g
 
bơ nhạt
 - 
làm chảy
3
 
quả
 
trứng
 - 
đánh tan
½
 
tbsp
 
muối
250
 
g
 
thịt hun khói
 - 
bacon
300
 
g
 
phô-mai cheddar
 - 
bào sợi
1
 
nắm
 
parley
 - 
thái nhỏ"
Bánh mì hình sao – tạo hình tuyệt đẹp,"1
 
cup
 
sữa tươi không đường
 - 
240ml
2 1/4
 
tsp
 
men khô
 - 
instant yeast
1
 
quả
 
trứng
1/4
 
cup
 
bơ nhạt, chảy
 - 
60g
1/4
 
cup
 
đường trắng
 - 
50g
3 3/4
 
cup
 
bột bánh mì
 - 
hoặc bột mì đa dụng
1
 
tsp
 
muối"
Cupcake chanh vàng hạt poppy nhân mứt chanh,"⅓
 
cup
 
nước cốt chanh vàng
 - 
80ml
100
 
g
 
đường trắng
½
 
tsp
 
muối
4
 
cái
 
lòng đỏ trứng
50
 
g
 
bơ nhạt"
Puff pastry triangles with cinnamon apple walnut custard filling,"Làm nhân táo
30
 
g
 
bơ nhạt
2
 
quả
 
táo
 - 
thái vuông quân cờ
2
 
tbsp
 
đường nâu
1
 
tbsp
 
bột quế
150
 
g
 
hạt óc chó
 - 
thái vụn
1
 
tbsp
 
nước cốt chanh vàng
1
 
quả
 
chanh vàng
 - 
bào lấy vỏ"
Bánh brownies hạt óc chó với xốt caramel,"220
 
g
 
chocolate đen
 - 
(loại ít ngọt, ví dụ chocolate couverture 65%)
240
 
g
 
bơ nhạt
1
 
tsp
 
vanilla extract
100
 
g
 
hạt óc chó
20
 
g
 
bột cacao
2
 
tsb
 
baking powder
5
 
quả
 
trứng
80
 
g
 
đường"
Cách làm bánh mì bò kho,"800
 
g
 
thịt bò gân
1
 
gói
 
gia vị bò kho
2
 
tbsp 
 
nước mắm
 - 
gia giảm tùy theo
3
 
củ
 
hành tím
1
 
củ
 
tỏi
3
 
cây
 
sả
3
 
quả
 
cà chua
1
 
củ
 
hành tây
2
 
củ
 
cà rốt
1 
 
rổ
 
rau sống các loại
 - 
húngquế, rau mùi, mùi tàu, húng lủi
5
 
cái
 
bánh mì"
Bánh tart dâu tây kem trứng – strawberry custard tart,"Phần kem
250
 
ml
 
sữa tươi không đường
70
 
g
 
đường trắng
3
 
cái
 
lòng đỏ trứng
25
 
g
 
bột ngô
150
 
ml
 
whipping cream
40
 
g
 
bơ nhạt
1
 
tsp
 
vanilla extract"
Coconut cookies – bánh quy dừa,"200
 
g
 
bơ nhạt
150
 
g
 
đường bột
 - 
icing sugar
½
 
tsp
 
muối
2
 
quả
 
trứng
1
 
tsp
 
vanilla extract
1½
 
tsp
 
baking powder
300
 
g
 
bột cake
 - 
cake flour
100
 
g
 
dừa sợi khô"
Butter cookies – bánh quy bơ,"380
 
g
 
bơ nhạt
 - 
để mềm ở nhiệt độ phòng
150
 
g
 
đường bột
 - 
icing sugar
1½
 
tsp
 
muối
2
 
quả
 
trứng
2
 
tsp
 
vanilla extract
250
 
g
 
bột mì cake
 - 
cake flour, có thể thay bằng bột mì đa dụng
250
 
g
 
bột mì bread
 - 
bread flour, có thể thay bằng bột mì đa dụng
1
 
tsp
 
baking powder
2
 
tbsp
 
bột cacao
1
 
tbsp
 
bột trà xanh
50
 
g
 
cranberry khô
50
 
ml
 
rượu rum"
Linzer cookies – bánh quy vị quế nhân mứt quả,"225
 
g
 
bơ nhạt
 - 
để mềm
150
 
g
 
đường bột
 - 
icing sugar
½
 
tsp
 
muối
2
 
quả
 
trứng
1
 
tsp
 
vanilla extract
150
 
g
 
bột hạnh nhân
450
 
g
 
bột mì cake
 - 
cake flour
2
 
tsp
 
bột quế
 - 
hoặc 10g
2
 
tbsp
 
vỏ chanh vàng
 - 
bào nhuyễn
1
 
lượng
 
mứt quả
 - 
tùy ý"
Tìm hiểu về bánh Tiramisu và công thức của Kokotaru,"Phần kem cheese
2
 
cup
 
sữa tươi
 - 
480ml
100
 
g
 
đường trắng
35
 
g
 
bột mì đa dụng
6
 
cái
 
lòng đỏ trứng
60
 
ml
 
rượu rum
 - 
dark Rhum
2
 
tsp
 
vanilla
60
 
g
 
bơ nhạt
 - 
cắt thành miếng nhỏ
250
 
g
 
mascapone cheese
1
 
bánh
 
gato Hongkong
 - 
hoặc bánh cuộn"
Cách làm bánh phô mai socola kiểu Đức – German chocolate cheesecake,"Cho đế bánh
2
 
cups
 
vụn bánh Oreo
 - 
(500ml)
4
 
tbsp
 
bơ chảy
 - 
bơ nhạt"
Cách làm bánh Gato Hồng Kông,"4
 
quả
 
trứng
80
 
g
 
đường trắng
¼
 
tsp
 
cream of tartar
35
 
g
 
sữa tươi
35
 
g
 
dầu ăn
 - 
dầu hạt cải hoặc dầu hướng dương
50
 
g
 
bột mì
 - 
(cake flour)
50
 
g
 
bột ngô
 - 
(corn starch)"
Bánh phô-mai anh đào – Cherry cheesecake bars,"Làm đế bánh
công thức làm đế cho bánh tart hoặc pie mà bạn thường làm và ưng ý nhất. Tham khảo ở đây."
Kẹo hạnh nhân ngọt vị quế đường,"200
 
g
 
hạnh nhân
 - 
nguyên hạt
50
 
g
 
đường nâu
50
 
g
 
đường trắng
1
 
tsp
 
bột quế
1
 
cái
 
lòng trắng
 - 
trứng gà"
Bánh pie rau Đại hoàng – Rhubarb Pie,"Cho vỏ pie
350
 
g
 
bộ mì đa dụng
 - 
all-purpose flour/plain flour
1
 
tsp
 
muối
2
 
tbsp
 
đường
200
 
g
 
bơ lạnh
70
 
ml
 
nước đá"
Bánh tôm Hà Nội,"500
 
g
 
tôm đồng
250
 
g
 
bột mì
50
 
g
 
bột năng
⅓
 
tsp
 
muối
1
 
củ
 
khoai lang
 - 
thái sợi nhỏ vụn
2
 
quả
 
trứng vịt
cà rốt
 - 
su hào hoặc đu đủ xanh
nước mắm
tiêu xay
tỏi
ớt
chanh
đường
dấm
rau sống
 - 
ăn kèm
dầu ăn"
Bánh việt quất và hạt – Blueberry and nuts cake,"2
 
cup
 
bột mì đa dụng
 - 
all purpose flour / plain flour
1½
 
tsp
 
baking powder
½
 
tsp
 
baking soda
½
 
tsp
 
muối
1
 
cup
 
quả việt quất tươi
 - 
blueberries
⅓
 
cup
 
đường nâu
¼
 
cup
 
yến mạch
2
 
tbsp
 
hạt óc chó
 - 
thái vụn
2
 
tbsp
 
hạnh nhân hạt
 - 
thái vụn
1
 
tbsp
 
bột mì
¼
 
tsp
 
bột quế
2
 
tbsp
 
bơ chảy
½
 
cup
 
đường nâu
¼
 
cup
 
bơ
 - 
để mềm
2
 
tbsp
 
dầu ăn
1
 
quả
 
trứng
1
 
cup
 
butter milk
 - 
(1 cup sữa tươi + 1 tbs nước cốt chanh, quấy đều, để yên 10-15 phút)
1
 
tbsp
 
nước cốt chanh vàng
2
 
tbsp
 
vỏ chanh vàng
 - 
bào vụn"
Cách làm Bánh quy lưỡi mèo 3 vị,"230
 
g
 
bơ nhạt
 - 
để mềm
130
 
g
 
đường bột
1
 
tsp
 
vanilla extract
200
 
g
 
lòng trắng trứng
250
 
g
 
bột mì đa dụng
½
 
tsp
 
muối
½
 
tbsp
 
bột trà xanh
1
 
tbsp
 
bột cacao
1
 
lượng
 
hạnh nhân lát"
Cách làm bánh dứa kiểu Tàu,"300
 
g
 
bơ nhạt
 - 
để mềm ở nhiệt độ phòng
70
 
g
 
đường bột
1
 
quả
 
trứng
1
 
tsp
 
muối
500
 
g
 
bột mì đa dụng
50
 
g
 
bột ngô"
Cách làm  bánh quy hạt dẻ tuyệt ngon – Hazelnut round,"125
 
g
 
bơ nhạt
 - 
để mềm
100
 
g
 
đường nâu
1
 
quả
 
trứng
100
 
g
 
bột mì đa dụng
50
 
g
 
rolled oats
1½
 
tbsp
 
bột cacao
½
 
tsp
 
baking powder
⅛
 
tsp
 
muối
90
 
g
 
white chocolate
90
 
g
 
chocolate thường
 - 
(đen hoặc sữa)
100
 
g
 
hazelnut"
Bánh mì bơ tỏi,"Bánh mì
 - 
(Pháp, Ý, gối đều ngon –  Bánh mì Ngã Tư Sở ở HN cũng sẽ ngon :P)
Bơ nhạt
 - 
(nếu dùng bơ mặn thì không cần thêm muối)
Muối
Tỏi
Pasley"
Bánh muffins chocolate trắng,"Làm thân muffin
170
 
g
 
bột mì
1½
 
tsp
 
baking powder
70
 
g
 
đường
100
 
g
 
chocolate trắng
 - 
bào vụn
2
 
quả
 
trứng
100
 
g
 
bơ
 - 
chảy
60
 
ml
 
sữa chua
 - 
có đường (nếu không đường thì thêm khoảng 10g đường nữa)"
Bánh pizza đế mỏng – công thức cơ bản,"90
 
g
 
bột mì đa dụng
100
 
g
 
bột bánh mì
½
 
tsp
 
đường
½
 
tsp
 
men nở 
 - 
(instant yeast)
½
 
tsp
 
muối
¾
 
tbsp
 
dầu ô liu
110
 
ml
 
nước nóng ấm
 - 
(không phải nước ấm và cũng không phải là nước mới đun sôi xong)"
Bánh macaroons dừa – coconut macaroons,"6
 
cái
 
lòng trắng trứng
350
 
g
 
cùi dừa tươi bào sợi
120
 
g
 
đường trắng
20
 
g
 
bột mì đa dụng
¼
 
tsp
 
tinh chất vanilla"
Cách làm hạt đác rim lá dứa,"500g hạt đác tươi
150g đường
200ml nước lá dứa"
Cách làm hạt đác rim chanh leo,"500g hạt đác tươi
3-4 quả chanh leo
200g đường trắng (hoặc đường phèn)"
Cách làm hạt đác rim dâu tây,"500g hạt đác tươi
180g đường trắng (bạn có thể dùng đường phèn)
150g dâu tây, thái lát"
Cách làm Bánh quy dứa,"330g (2 1/4 cups) bột mì đa dụng
1/2 tsp baking powder
1/4 tsp muối
250g (1cup) bơ nhạt, để mềm
110g (1/2 cup) đường trắng
1 quả trứng to
1 tbs nước ép dứa (dứa tươi – không phải loại nước hoa quả ép đóng chai nhé)"
Cách làm bánh vừng giòn tan – Sesame tuiles,"150g đường bột
210g cake flour
1/8 tsp bột nutmeg
140g lòng trắng trứng
140g bơ chảy
3g vỏ chanh bào vụn
30g vừng trắng
Thêm 15g vừng nữa để rắc lên mặt bánh."
Cách làm bánh pancake dứa – Pineapple pancake,"Dứa (chuẩn bị khoảng 1-2 quả tùy độ to nhỏ), gọt vỏ, bỏ mắt, thái lát tròn độ dày 1cm.
225g bột self-rising flour
1 tsp baking powder
35g dừa vụn khô
2 tbs đường trắng
250ml sữa tươi
40g bơ chảy
1 tsp vanilla
2 quả trứng
1 ít bơ lạnh để riêng
Maple syrup hoặc kem vanilla để ăn kèm."
Bánh quy hạt dẻ yến mạch – Hazelnut  oat cookies,"2 lòng trắng trứng
70g đường thô (demerara sugar)
1 tsp vanilla
75g rolled oat
50g hazelnut xay nhuyễn
1 tbs nước cốt chanh
Vỏ 1 quả chanh bào vụn
Hạt hướng dương"
Công thức bánh mì Brioche,"60ml sữa tươi
15g men tươi (nếu dùng instant active yeast thì không cần làm tan men trong sữa ấm)
60g bột bánh mì"
